note_str,pitch,instrument_family_str
flute_acoustic_015-095-100,95,flute
keyboard_synthetic_003-021-050,21,keyboard
vocal_acoustic_009-063-025,63,vocal
guitar_acoustic_005-047-025,47,guitar
keyboard_electronic_040-106-050,106,keyboard
mallet_synthetic_003-074-075,74,mallet
bass_synthetic_073-087-100,87,bass
string_acoustic_058-051-075,51,string
mallet_acoustic_049-033-075,33,mallet
keyboard_electronic_083-107-025,107,keyboard
bass_synthetic_142-087-127,87,bass
bass_synthetic_053-030-127,30,bass
bass_synthetic_022-091-127,91,bass
keyboard_synthetic_006-102-075,102,keyboard
reed_acoustic_024-069-025,69,reed
mallet_acoustic_011-094-050,94,mallet
reed_acoustic_014-040-050,40,reed
mallet_acoustic_048-069-075,69,mallet
keyboard_electronic_029-026-075,26,keyboard
guitar_electronic_012-082-075,82,guitar
keyboard_acoustic_019-089-025,89,keyboard
reed_acoustic_039-062-075,62,reed
bass_synthetic_136-085-025,85,bass
keyboard_electronic_032-101-100,101,keyboard
bass_synthetic_062-085-075,85,bass
brass_acoustic_041-050-025,50,brass
guitar_electronic_019-044-050,44,guitar
string_acoustic_063-042-100,42,string
reed_acoustic_046-025-050,25,reed
keyboard_electronic_020-039-025,39,keyboard
guitar_electronic_045-059-127,59,guitar
bass_electronic_002-049-075,49,bass
keyboard_electronic_008-098-075,98,keyboard
keyboard_electronic_016-060-127,60,keyboard
bass_synthetic_055-077-050,77,bass
bass_synthetic_004-076-050,76,bass
keyboard_electronic_060-037-100,37,keyboard
mallet_acoustic_067-061-100,61,mallet
guitar_synthetic_004-035-127,35,guitar
flute_acoustic_027-074-025,74,flute
synth_lead_synthetic_010-105-075,105,synth_lead
brass_acoustic_057-050-100,50,brass
bass_electronic_000-039-075,39,bass
organ_electronic_049-070-075,70,organ
organ_electronic_041-059-100,59,organ
bass_synthetic_067-062-075,62,bass
brass_acoustic_063-043-050,43,brass
mallet_acoustic_019-060-050,60,mallet
vocal_acoustic_028-064-100,64,vocal
organ_electronic_053-031-025,31,organ
bass_synthetic_042-025-127,25,bass
organ_electronic_005-047-050,47,organ
bass_synthetic_131-099-127,99,bass
reed_acoustic_056-071-075,71,reed
keyboard_electronic_109-022-025,22,keyboard
keyboard_electronic_053-042-025,42,keyboard
keyboard_synthetic_006-097-050,97,keyboard
keyboard_electronic_061-077-100,77,keyboard
keyboard_electronic_042-058-075,58,keyboard
keyboard_electronic_032-056-127,56,keyboard
reed_acoustic_054-067-075,67,reed
mallet_acoustic_051-054-050,54,mallet
mallet_acoustic_064-088-025,88,mallet
string_acoustic_063-065-050,65,string
organ_electronic_080-035-100,35,organ
bass_synthetic_084-077-127,77,bass
keyboard_electronic_081-060-127,60,keyboard
bass_synthetic_039-010-025,10,bass
guitar_electronic_045-072-075,72,guitar
organ_electronic_097-054-127,54,organ
guitar_electronic_030-103-127,103,guitar
bass_synthetic_022-026-025,26,bass
mallet_acoustic_042-024-075,24,mallet
keyboard_electronic_051-108-127,108,keyboard
keyboard_electronic_018-038-025,38,keyboard
bass_synthetic_143-061-075,61,bass
reed_acoustic_019-065-127,65,reed
guitar_electronic_015-105-100,105,guitar
mallet_acoustic_058-056-075,56,mallet
bass_synthetic_103-049-100,49,bass
brass_acoustic_027-067-100,67,brass
brass_acoustic_049-076-127,76,brass
keyboard_electronic_039-040-025,40,keyboard
guitar_electronic_046-072-127,72,guitar
reed_acoustic_003-067-127,67,reed
guitar_electronic_036-026-050,26,guitar
bass_synthetic_053-101-075,101,bass
string_acoustic_022-039-025,39,string
organ_electronic_090-059-025,59,organ
keyboard_electronic_023-049-127,49,keyboard
bass_synthetic_093-088-075,88,bass
bass_synthetic_062-063-075,63,bass
guitar_electronic_018-099-127,99,guitar
keyboard_acoustic_002-093-100,93,keyboard
keyboard_electronic_079-069-025,69,keyboard
bass_synthetic_094-105-075,105,bass
bass_synthetic_113-023-050,23,bass
string_acoustic_035-072-075,72,string
vocal_acoustic_023-044-127,44,vocal
keyboard_acoustic_020-028-127,28,keyboard
bass_synthetic_127-101-050,101,bass
brass_acoustic_044-057-050,57,brass
guitar_electronic_021-088-100,88,guitar
keyboard_electronic_027-043-025,43,keyboard
organ_electronic_042-069-127,69,organ
reed_acoustic_041-049-075,49,reed
bass_synthetic_053-056-025,56,bass
string_acoustic_061-051-100,51,string
guitar_electronic_000-064-050,64,guitar
mallet_acoustic_051-106-100,106,mallet
keyboard_electronic_059-063-100,63,keyboard
mallet_acoustic_033-081-127,81,mallet
bass_synthetic_048-060-100,60,bass
mallet_acoustic_065-030-025,30,mallet
string_acoustic_011-026-127,26,string
keyboard_electronic_008-081-127,81,keyboard
bass_synthetic_006-027-075,27,bass
keyboard_electronic_111-106-127,106,keyboard
organ_electronic_087-068-127,68,organ
keyboard_electronic_090-094-050,94,keyboard
bass_synthetic_039-077-100,77,bass
guitar_electronic_016-099-100,99,guitar
bass_synthetic_080-075-050,75,bass
bass_electronic_038-028-127,28,bass
flute_synthetic_005-068-100,68,flute
bass_synthetic_038-025-050,25,bass
guitar_acoustic_013-094-075,94,guitar
mallet_acoustic_006-041-127,41,mallet
bass_synthetic_019-033-127,33,bass
keyboard_electronic_030-048-025,48,keyboard
bass_synthetic_118-028-025,28,bass
bass_synthetic_023-092-025,92,bass
guitar_electronic_013-058-127,58,guitar
bass_synthetic_141-037-025,37,bass
bass_synthetic_038-026-050,26,bass
string_acoustic_062-032-050,32,string
bass_synthetic_082-073-100,73,bass
vocal_synthetic_006-035-100,35,vocal
organ_electronic_026-070-075,70,organ
mallet_acoustic_032-036-100,36,mallet
organ_electronic_078-052-100,52,organ
keyboard_acoustic_000-030-025,30,keyboard
guitar_electronic_015-033-100,33,guitar
bass_synthetic_090-038-127,38,bass
keyboard_electronic_014-034-075,34,keyboard
organ_electronic_090-048-050,48,organ
bass_synthetic_010-034-127,34,bass
bass_synthetic_137-085-127,85,bass
guitar_electronic_015-085-100,85,guitar
bass_synthetic_144-069-075,69,bass
keyboard_electronic_085-045-100,45,keyboard
keyboard_acoustic_014-092-100,92,keyboard
organ_electronic_029-060-025,60,organ
mallet_acoustic_013-067-127,67,mallet
guitar_acoustic_000-089-100,89,guitar
mallet_acoustic_016-106-100,106,mallet
keyboard_electronic_061-035-025,35,keyboard
organ_electronic_012-054-127,54,organ
organ_electronic_066-049-100,49,organ
brass_acoustic_049-080-025,80,brass
keyboard_electronic_108-071-127,71,keyboard
guitar_acoustic_020-085-127,85,guitar
string_acoustic_076-084-127,84,string
reed_acoustic_014-056-050,56,reed
bass_electronic_033-036-100,36,bass
string_acoustic_029-035-025,35,string
keyboard_electronic_043-052-025,52,keyboard
keyboard_electronic_038-039-025,39,keyboard
keyboard_electronic_038-051-127,51,keyboard
synth_lead_synthetic_000-057-075,57,synth_lead
guitar_synthetic_009-100-050,100,guitar
keyboard_electronic_075-088-075,88,keyboard
keyboard_electronic_106-069-127,69,keyboard
bass_synthetic_115-021-025,21,bass
organ_electronic_110-050-127,50,organ
guitar_acoustic_003-092-050,92,guitar
keyboard_acoustic_011-108-100,108,keyboard
bass_synthetic_028-027-050,27,bass
guitar_electronic_034-095-100,95,guitar
guitar_acoustic_005-101-100,101,guitar
mallet_acoustic_048-025-075,25,mallet
mallet_acoustic_012-087-100,87,mallet
bass_synthetic_117-038-075,38,bass
bass_synthetic_001-033-100,33,bass
reed_acoustic_001-059-075,59,reed
reed_acoustic_053-068-050,68,reed
reed_synthetic_001-100-075,100,reed
keyboard_acoustic_017-069-075,69,keyboard
mallet_acoustic_048-025-100,25,mallet
keyboard_electronic_040-022-075,22,keyboard
keyboard_electronic_048-061-075,61,keyboard
mallet_acoustic_025-104-050,104,mallet
mallet_acoustic_048-072-100,72,mallet
bass_synthetic_089-092-025,92,bass
guitar_electronic_002-104-025,104,guitar
bass_synthetic_094-026-100,26,bass
vocal_synthetic_007-041-100,41,vocal
string_acoustic_015-040-075,40,string
organ_electronic_067-048-127,48,organ
organ_electronic_020-037-075,37,organ
bass_synthetic_130-087-100,87,bass
guitar_electronic_023-033-100,33,guitar
mallet_acoustic_028-046-100,46,mallet
bass_synthetic_091-047-127,47,bass
bass_synthetic_081-064-075,64,bass
guitar_acoustic_019-108-025,108,guitar
guitar_electronic_026-096-025,96,guitar
bass_electronic_016-034-075,34,bass
guitar_acoustic_032-027-025,27,guitar
organ_electronic_085-064-075,64,organ
guitar_acoustic_023-083-050,83,guitar
vocal_synthetic_009-068-025,68,vocal
reed_acoustic_052-073-025,73,reed
mallet_acoustic_025-057-075,57,mallet
bass_electronic_036-062-050,62,bass
bass_synthetic_126-043-100,43,bass
bass_synthetic_048-082-075,82,bass
bass_synthetic_087-088-127,88,bass
guitar_electronic_044-089-050,89,guitar
bass_synthetic_138-041-127,41,bass
guitar_acoustic_017-075-127,75,guitar
mallet_synthetic_003-075-127,75,mallet
brass_acoustic_002-034-050,34,brass
keyboard_electronic_022-021-075,21,keyboard
string_acoustic_067-072-127,72,string
reed_acoustic_053-083-100,83,reed
mallet_synthetic_003-057-100,57,mallet
bass_electronic_001-034-025,34,bass
bass_electronic_000-022-100,22,bass
keyboard_electronic_029-093-100,93,keyboard
guitar_electronic_016-077-050,77,guitar
mallet_acoustic_048-048-050,48,mallet
mallet_acoustic_017-038-127,38,mallet
bass_synthetic_103-047-050,47,bass
organ_electronic_040-045-127,45,organ
bass_synthetic_117-094-050,94,bass
vocal_synthetic_007-029-127,29,vocal
synth_lead_synthetic_005-025-025,25,synth_lead
bass_synthetic_018-071-100,71,bass
reed_acoustic_014-086-100,86,reed
bass_electronic_017-044-050,44,bass
mallet_acoustic_059-025-050,25,mallet
guitar_synthetic_001-039-075,39,guitar
organ_electronic_003-026-050,26,organ
organ_electronic_102-108-025,108,organ
reed_acoustic_041-069-050,69,reed
guitar_electronic_008-055-050,55,guitar
keyboard_electronic_049-059-127,59,keyboard
guitar_acoustic_019-060-075,60,guitar
reed_acoustic_036-063-025,63,reed
keyboard_acoustic_003-108-050,108,keyboard
string_acoustic_084-060-050,60,string
keyboard_electronic_061-080-075,80,keyboard
keyboard_electronic_026-068-050,68,keyboard
keyboard_electronic_000-052-025,52,keyboard
vocal_synthetic_001-084-100,84,vocal
keyboard_acoustic_010-028-075,28,keyboard
string_acoustic_061-067-075,67,string
bass_synthetic_093-060-025,60,bass
brass_acoustic_033-051-127,51,brass
keyboard_electronic_052-080-127,80,keyboard
keyboard_synthetic_012-075-100,75,keyboard
keyboard_electronic_046-102-025,102,keyboard
bass_synthetic_127-026-075,26,bass
organ_electronic_031-046-075,46,organ
reed_acoustic_055-100-050,100,reed
keyboard_electronic_095-028-100,28,keyboard
guitar_acoustic_007-050-075,50,guitar
mallet_electronic_012-055-075,55,mallet
guitar_electronic_003-044-050,44,guitar
bass_synthetic_079-086-127,86,bass
keyboard_electronic_010-078-100,78,keyboard
mallet_electronic_008-072-050,72,mallet
keyboard_electronic_109-092-075,92,keyboard
organ_electronic_097-027-100,27,organ
string_acoustic_078-055-075,55,string
guitar_acoustic_028-074-127,74,guitar
mallet_acoustic_012-089-100,89,mallet
reed_acoustic_050-074-127,74,reed
organ_electronic_074-084-075,84,organ
keyboard_electronic_086-044-127,44,keyboard
brass_acoustic_054-051-025,51,brass
brass_acoustic_053-043-075,43,brass
bass_synthetic_076-104-075,104,bass
bass_synthetic_136-024-025,24,bass
keyboard_acoustic_006-077-100,77,keyboard
bass_synthetic_061-074-075,74,bass
keyboard_electronic_096-069-100,69,keyboard
reed_acoustic_002-064-100,64,reed
keyboard_acoustic_009-036-075,36,keyboard
bass_synthetic_086-063-025,63,bass
guitar_electronic_036-075-127,75,guitar
mallet_acoustic_057-055-075,55,mallet
string_acoustic_022-048-025,48,string
bass_synthetic_001-076-050,76,bass
guitar_acoustic_001-042-127,42,guitar
bass_electronic_034-055-100,55,bass
organ_electronic_090-068-025,68,organ
mallet_acoustic_061-097-127,97,mallet
mallet_acoustic_004-045-127,45,mallet
reed_acoustic_017-081-075,81,reed
mallet_acoustic_052-086-075,86,mallet
bass_electronic_014-027-075,27,bass
mallet_acoustic_018-101-075,101,mallet
keyboard_electronic_038-092-075,92,keyboard
bass_synthetic_121-083-075,83,bass
keyboard_electronic_059-059-075,59,keyboard
keyboard_electronic_027-070-100,70,keyboard
vocal_acoustic_024-065-100,65,vocal
mallet_acoustic_052-047-075,47,mallet
organ_acoustic_000-024-127,24,organ
guitar_electronic_034-052-025,52,guitar
brass_acoustic_010-064-075,64,brass
flute_acoustic_008-089-075,89,flute
bass_synthetic_112-029-127,29,bass
organ_electronic_024-085-075,85,organ
guitar_synthetic_008-054-025,54,guitar
organ_electronic_019-050-100,50,organ
vocal_synthetic_005-063-025,63,vocal
mallet_acoustic_006-045-025,45,mallet
brass_acoustic_040-068-127,68,brass
bass_synthetic_119-092-050,92,bass
organ_electronic_029-067-050,67,organ
bass_synthetic_025-052-025,52,bass
organ_electronic_063-045-025,45,organ
reed_acoustic_006-078-100,78,reed
bass_synthetic_075-040-025,40,bass
keyboard_electronic_077-082-075,82,keyboard
bass_synthetic_037-066-075,66,bass
reed_acoustic_027-080-050,80,reed
keyboard_electronic_080-038-025,38,keyboard
keyboard_electronic_047-045-050,45,keyboard
guitar_acoustic_007-092-100,92,guitar
keyboard_electronic_004-024-075,24,keyboard
keyboard_electronic_031-026-025,26,keyboard
mallet_electronic_001-088-075,88,mallet
organ_electronic_068-039-127,39,organ
reed_acoustic_003-104-127,104,reed
guitar_synthetic_010-026-100,26,guitar
bass_synthetic_057-104-025,104,bass
keyboard_electronic_029-022-025,22,keyboard
guitar_acoustic_028-028-100,28,guitar
guitar_synthetic_012-046-127,46,guitar
mallet_electronic_011-064-025,64,mallet
bass_synthetic_031-092-127,92,bass
reed_acoustic_005-033-075,33,reed
keyboard_electronic_023-067-075,67,keyboard
bass_synthetic_047-033-127,33,bass
mallet_acoustic_022-042-075,42,mallet
mallet_acoustic_008-075-100,75,mallet
keyboard_electronic_006-035-100,35,keyboard
keyboard_synthetic_006-043-025,43,keyboard
reed_acoustic_044-051-025,51,reed
mallet_acoustic_070-061-127,61,mallet
bass_synthetic_090-099-100,99,bass
reed_acoustic_059-067-127,67,reed
guitar_acoustic_001-038-075,38,guitar
guitar_synthetic_009-107-025,107,guitar
mallet_acoustic_013-046-127,46,mallet
mallet_acoustic_019-039-025,39,mallet
keyboard_acoustic_013-040-025,40,keyboard
guitar_acoustic_003-092-100,92,guitar
keyboard_electronic_099-034-050,34,keyboard
keyboard_electronic_047-108-127,108,keyboard
organ_electronic_079-037-127,37,organ
mallet_acoustic_069-030-075,30,mallet
guitar_electronic_009-102-050,102,guitar
keyboard_electronic_095-102-075,102,keyboard
keyboard_electronic_014-025-050,25,keyboard
guitar_electronic_007-079-127,79,guitar
keyboard_electronic_105-088-050,88,keyboard
organ_electronic_036-067-075,67,organ
mallet_acoustic_067-098-075,98,mallet
bass_synthetic_111-018-050,18,bass
flute_acoustic_000-066-127,66,flute
guitar_electronic_016-074-050,74,guitar
flute_synthetic_001-085-100,85,flute
keyboard_electronic_028-080-050,80,keyboard
brass_acoustic_039-071-025,71,brass
guitar_electronic_039-052-025,52,guitar
bass_synthetic_003-042-100,42,bass
keyboard_electronic_028-062-075,62,keyboard
keyboard_electronic_007-034-025,34,keyboard
organ_electronic_038-074-127,74,organ
flute_synthetic_005-022-075,22,flute
keyboard_electronic_092-039-127,39,keyboard
mallet_acoustic_027-040-075,40,mallet
keyboard_electronic_034-091-025,91,keyboard
reed_acoustic_053-058-075,58,reed
keyboard_electronic_094-062-100,62,keyboard
string_acoustic_013-038-050,38,string
keyboard_electronic_102-070-127,70,keyboard
bass_synthetic_045-079-127,79,bass
keyboard_electronic_048-079-025,79,keyboard
organ_electronic_049-090-025,90,organ
guitar_acoustic_006-022-050,22,guitar
bass_synthetic_053-088-025,88,bass
keyboard_acoustic_006-078-050,78,keyboard
keyboard_electronic_102-039-100,39,keyboard
keyboard_electronic_061-081-025,81,keyboard
mallet_acoustic_010-091-075,91,mallet
keyboard_electronic_077-032-075,32,keyboard
guitar_electronic_036-025-050,25,guitar
keyboard_electronic_073-028-025,28,keyboard
brass_acoustic_041-044-050,44,brass
brass_acoustic_040-078-050,78,brass
bass_synthetic_044-103-075,103,bass
string_acoustic_027-085-127,85,string
keyboard_electronic_007-071-075,71,keyboard
keyboard_electronic_005-067-075,67,keyboard
keyboard_electronic_084-053-025,53,keyboard
keyboard_acoustic_003-092-050,92,keyboard
guitar_acoustic_000-074-100,74,guitar
guitar_synthetic_001-077-100,77,guitar
keyboard_synthetic_004-073-075,73,keyboard
flute_acoustic_003-057-075,57,flute
mallet_acoustic_011-079-075,79,mallet
bass_synthetic_067-103-100,103,bass
keyboard_electronic_087-014-127,14,keyboard
organ_electronic_093-025-127,25,organ
brass_acoustic_045-052-025,52,brass
bass_synthetic_028-050-100,50,bass
guitar_synthetic_010-037-127,37,guitar
organ_electronic_086-043-100,43,organ
bass_synthetic_118-047-075,47,bass
keyboard_electronic_093-099-100,99,keyboard
guitar_acoustic_007-056-050,56,guitar
flute_acoustic_020-064-050,64,flute
keyboard_electronic_048-065-127,65,keyboard
keyboard_electronic_034-067-127,67,keyboard
keyboard_electronic_037-037-075,37,keyboard
organ_electronic_023-083-100,83,organ
mallet_acoustic_074-061-100,61,mallet
bass_synthetic_023-042-127,42,bass
keyboard_acoustic_017-027-100,27,keyboard
guitar_acoustic_003-056-075,56,guitar
vocal_synthetic_009-027-075,27,vocal
bass_synthetic_053-067-100,67,bass
mallet_acoustic_058-040-100,40,mallet
bass_synthetic_057-101-025,101,bass
organ_acoustic_000-051-127,51,organ
mallet_acoustic_009-037-127,37,mallet
keyboard_electronic_026-050-075,50,keyboard
string_acoustic_069-036-050,36,string
guitar_synthetic_009-025-100,25,guitar
bass_synthetic_094-023-100,23,bass
guitar_electronic_008-058-050,58,guitar
reed_acoustic_024-032-127,32,reed
guitar_acoustic_001-026-050,26,guitar
synth_lead_synthetic_006-023-075,23,synth_lead
mallet_acoustic_014-022-050,22,mallet
string_acoustic_019-056-025,56,string
keyboard_electronic_008-106-100,106,keyboard
mallet_electronic_007-100-050,100,mallet
vocal_acoustic_016-074-127,74,vocal
keyboard_electronic_108-110-050,110,keyboard
keyboard_electronic_090-039-100,39,keyboard
mallet_acoustic_049-090-100,90,mallet
keyboard_acoustic_002-104-100,104,keyboard
organ_electronic_096-051-075,51,organ
bass_electronic_035-025-050,25,bass
reed_acoustic_016-045-050,45,reed
mallet_acoustic_020-033-075,33,mallet
keyboard_electronic_029-099-075,99,keyboard
keyboard_electronic_042-034-127,34,keyboard
flute_synthetic_004-059-100,59,flute
organ_electronic_061-033-075,33,organ
reed_acoustic_017-076-050,76,reed
bass_synthetic_090-101-050,101,bass
bass_synthetic_017-034-100,34,bass
keyboard_electronic_082-036-025,36,keyboard
synth_lead_synthetic_003-113-050,113,synth_lead
vocal_acoustic_025-070-127,70,vocal
keyboard_electronic_032-084-075,84,keyboard
keyboard_electronic_005-031-127,31,keyboard
mallet_acoustic_017-036-075,36,mallet
flute_synthetic_005-059-100,59,flute
keyboard_acoustic_018-046-100,46,keyboard
bass_synthetic_032-046-025,46,bass
string_acoustic_018-086-100,86,string
guitar_electronic_027-095-050,95,guitar
guitar_acoustic_003-087-075,87,guitar
flute_acoustic_028-053-100,53,flute
mallet_acoustic_022-065-100,65,mallet
keyboard_electronic_066-065-075,65,keyboard
bass_synthetic_139-093-025,93,bass
bass_synthetic_061-091-127,91,bass
bass_synthetic_080-072-025,72,bass
keyboard_acoustic_017-090-100,90,keyboard
bass_synthetic_026-055-127,55,bass
guitar_electronic_016-097-075,97,guitar
bass_synthetic_099-103-050,103,bass
organ_electronic_022-058-127,58,organ
keyboard_electronic_085-022-100,22,keyboard
bass_synthetic_121-031-075,31,bass
bass_synthetic_065-018-025,18,bass
vocal_acoustic_026-054-100,54,vocal
vocal_synthetic_015-080-127,80,vocal
guitar_electronic_024-048-127,48,guitar
brass_acoustic_045-061-127,61,brass
organ_electronic_043-083-050,83,organ
vocal_acoustic_026-040-100,40,vocal
bass_synthetic_093-051-025,51,bass
organ_electronic_065-063-050,63,organ
keyboard_electronic_075-050-025,50,keyboard
flute_acoustic_013-084-025,84,flute
keyboard_acoustic_008-103-127,103,keyboard
guitar_electronic_000-108-075,108,guitar
guitar_synthetic_005-066-075,66,guitar
organ_electronic_078-068-100,68,organ
organ_electronic_060-081-025,81,organ
bass_synthetic_104-052-050,52,bass
synth_lead_synthetic_005-097-100,97,synth_lead
vocal_synthetic_015-035-050,35,vocal
keyboard_electronic_062-031-075,31,keyboard
bass_synthetic_038-052-127,52,bass
string_acoustic_022-035-100,35,string
bass_synthetic_010-069-050,69,bass
synth_lead_synthetic_009-027-075,27,synth_lead
bass_synthetic_115-051-025,51,bass
synth_lead_synthetic_002-087-100,87,synth_lead
synth_lead_synthetic_004-093-075,93,synth_lead
mallet_acoustic_057-044-050,44,mallet
bass_synthetic_041-056-025,56,bass
keyboard_electronic_017-087-050,87,keyboard
organ_electronic_005-074-050,74,organ
mallet_synthetic_002-083-127,83,mallet
bass_synthetic_001-049-075,49,bass
bass_electronic_016-041-025,41,bass
reed_acoustic_055-057-075,57,reed
keyboard_electronic_052-095-127,95,keyboard
bass_synthetic_073-048-025,48,bass
bass_electronic_034-052-025,52,bass
bass_electronic_009-031-100,31,bass
guitar_electronic_038-044-050,44,guitar
organ_electronic_101-061-075,61,organ
brass_acoustic_009-040-050,40,brass
bass_synthetic_042-098-025,98,bass
guitar_electronic_018-068-100,68,guitar
organ_electronic_089-084-127,84,organ
string_acoustic_018-083-075,83,string
organ_electronic_081-058-025,58,organ
keyboard_electronic_084-065-050,65,keyboard
bass_synthetic_095-077-050,77,bass
guitar_electronic_023-071-127,71,guitar
bass_electronic_035-051-100,51,bass
guitar_acoustic_033-047-025,47,guitar
organ_electronic_000-053-025,53,organ
keyboard_electronic_060-075-025,75,keyboard
mallet_electronic_006-041-127,41,mallet
keyboard_electronic_022-093-127,93,keyboard
organ_electronic_060-082-100,82,organ
guitar_electronic_027-017-025,17,guitar
organ_electronic_011-028-050,28,organ
mallet_electronic_008-037-075,37,mallet
keyboard_electronic_028-071-075,71,keyboard
organ_electronic_073-073-075,73,organ
reed_acoustic_034-072-127,72,reed
vocal_acoustic_024-039-025,39,vocal
vocal_synthetic_010-057-127,57,vocal
guitar_synthetic_010-023-127,23,guitar
bass_synthetic_103-032-100,32,bass
organ_electronic_002-078-075,78,organ
reed_acoustic_035-064-075,64,reed
bass_synthetic_074-023-050,23,bass
bass_electronic_034-045-050,45,bass
guitar_electronic_005-077-127,77,guitar
reed_acoustic_057-035-100,35,reed
reed_acoustic_003-084-050,84,reed
brass_acoustic_014-057-075,57,brass
brass_acoustic_062-066-075,66,brass
bass_synthetic_041-034-050,34,bass
